title,genre,rating,voting,duration,storyline
10 Lives,family,5.9,2.1K,1h 28m,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
11 Rebels,history,6.3,748,2h 35m,"Amidst the Boshin War's brutal conflicts, a motley squad of criminals and samurai undertakes a desperate defense of a fortress, their stand triggered by clashing interests of the Shibata clan, the shogunate, and the new government."
2073,documentary,5.1,3.3K,1h 25m,A woman living in a ruined Earth tries to comprehend how the world was destroyed.
24 Hours to D-Day,war,3.5,85,1h 23m,A squad of American paratroopers are dropped behind enemy lines in Nazi occupied France to prepare a signal beacon to guide Allied forces in preparation for D-Day.
40 Acres,"action, sci-fi, thriller, drama",7.1,654,1h 53m,"In a post-apocalyptic world with food scarcity, a Black family of Canadian farmers descended from American Civil War migrants defend their homestead against cannibals trying to seize their resources."
A Complete Unknown,"music, biography, drama",7.3,94K,2h 21m,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world."
A Desert,horror,5.8,445,1h 43m,"A photographer's road trip takes a dark turn when he befriends a reckless couple, plunging him into a nightmarish neo-noir spiral of unpredictable horror."
A Different Man,comedy,6.9,32K,1h 52m,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
A Family Affair,"romance, comedy",5.4,38K,1h 51m,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity."
A New Kind of Wilderness,documentary,7.6,1.3K,1h 24m,"In the Norwegian wilderness, a family seeks a wild free existence but a tragic turn of events shatters their isolation, compelling them to adapt to the demands of contemporary society."
A Nice Indian Boy,romance,7.4,2.4K,1h 36m,"When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams."
A Quiet Place: Day One,"sci-fi, horror, thriller",6.3,156K,1h 39m,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
A Real Pain,"comedy, drama",7.1,106K,1h 30m,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
A Sacrifice,mystery,5.0,5.8K,1h 34m,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event, while his daughter becomes embroiled with a mysterious local boy."
Abigail,"horror, thriller",6.5,101K,1h 49m,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Absolution,"action, crime, mystery",5.2,9.1K,1h 52m,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly."
Afraid,"sci-fi, mystery",5.2,15K,1h 24m,The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.
Afternoons of Solitude,documentary,7.3,766,2h 5m,"Explores the spiritual pain of bullfighting, the tormented torero in a ring, one of the most excessive and graphic examples of the origin of Southern European civilization"
Agent of Happiness,documentary,7.2,1.2K,1h 33m,"Amber, a happiness agent, travels the Bhutanese Himalayas surveying people's happiness. On his remote mountain journey, he searches for fulfillment."
Alien: Romulus,"sci-fi, horror, thriller",7.1,255K,1h 59m,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Alien: Rubicon,sci-fi,2.4,493,1h 26m,A series of alien spheres land on planet Earth destroying everything in their path with ease. It's up to a scientist and the President of the USA to find a way to stop the alien invasion.
All We Imagine as Light,romance,7.1,11K,1h 58m,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend."
All the Lost Ones,war,3.6,273,1h 46m,"In a dystopian and climate-ravaged future America torn apart by civil war, a group hiding in a remote cabin become the target of a ruthless rebel militia leader and his platoon, viciously hunted in a fight for survival."
Amaltash,musical,8.1,158,1h 53m,Rahul is a composed musician in an old city. A delightful serendipity smiles on him when he meets a warm and spontaneous girl Keerthi who is intrigued with Rahul's music.
Amar Singh Chamkila,music,7.8,17K,2h 25m,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's."
Amaran,"biography, war",8.1,20K,2h 47m,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014."
An no Koto,talk-show,7.1,54,,A drug-addicted girl from an abusive family finds hope through kind people but her grim reality strikes back just as she sees a glimmer of light.
And the Breadwinner Is...,family,6.0,473,2h 3m,"A film that focuses on a breadwinner and her family, which serves as a tribute to the unsung heroes who carry the weight of their loved ones' dreams on their shoulders."
Andromeda: 1883,western,3.9,20,1h 15m,A space marine travels back in time to save the future of the human race.
Anora,"romance, comedy, drama",7.5,208K,2h 19m,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled."
Anthony Rodia Totally Relatable,talk-show,6.1,54,1h 17m,"In Anthony Rodia's first stand up special, ""Totally Relatable"" is a comedic journey exploring the chaos of parenting, marital spats, and grappling with societies stupidity. Anthony navigates the absurdities of daily life, being raised by immigrant parents, and trying to uphold an old school way of raising kids."
Apocalypse Z: The Beginning of the End,sci-fi,6.1,21K,1h 57m,"Manel is sheltering from a rabies-like disease which sweeps the planet, until he is forced to leave and meet unlikely but essential traveling companions."
Apocalypse in the Tropics,"history, documentary",7.4,148,1h 50m,Focuses on how the evangelical movement paved the way for the presidency of Jair Bolsonaro and poses the threat of a national theocracy in Brazil.
Apollo 13: Survival,history,7.3,2.5K,1h 38m,"In April 1970, NASA faced the greatest crisis in its history; three astronauts halfway to the moon on a spacecraft that had suffered a catastrophic explosion."
Arcadian,"sci-fi, horror",5.5,25K,1h 32m,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.
Architecton,documentary,6.5,418,1h 38m,"An extraordinary journey through the material that makes up our habitat: concrete and its ancestor, stone."
Argylle,"action, comedy, thriller",5.6,94K,2h 19m,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.
Arthur the King,"sport, adventure",7.0,35K,1h 47m,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
Aserb: The Squadron,war,5.2,330,2h,"Egyptian military confronts terrorist groups responsible for massacring 21 Egyptians in Libya, highlighting the nation's security forces' operations against extremist organizations based on factual events."
Ask Me What You Want,romance,3.9,1.3K,1h 54m,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair."
Astral Plane Drifter,western,8.7,24,,Sometime Before Yesterday. Or After Tomorrow. Somewhere Out In The Yonder. There Was This Guy.
Atatürk II: 1881-1919,war,8.9,2.3K,2h 21m,"After proving himself at Gallipoli in 1915, Mustafa Kemal began his journey, facing major battles against Russians on the eastern front and British in Syria, becoming the only undefeated Ottoman officer in WW1."
Atlas,"sci-fi, adventure",5.6,57K,1h 58m,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
Attack on Titan the Movie: The Last Attack,"adventure, animation",9.1,18K,2h 25m,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
Avicii - I'm Tim,music,7.7,7.4K,1h 35m,"This is the story of Tim Bergling, a shy and insecure boy who, without realizing it, suddenly created one of the world's most loved artists - Avicii."
Babygirl,"romance, thriller, drama",5.8,64K,1h 54m,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
